Date,Open,High,Low,Close,Adj Close,Volume
01-11-2009,6.778571,7.428571,6.6275,7.139643,6.044417,8454784800
01-12-2009,7.222857,7.641071,6.738571,7.526071,6.371568,11393958800
01-01-2010,7.6225,7.699643,6.794643,6.859286,5.807068,15168994400
01-02-2010,6.870357,7.3275,6.816071,7.307857,6.186828,10776080000
01-03-2010,7.348214,8.481429,7.3375,8.392857,7.105388,12154172800
01-04-2010,8.478929,9.730714,8.3125,9.324643,7.89424,12367129600
01-05-2010,9.422857,9.567143,7.116071,9.174286,7.766946,18082654800
01-06-2010,9.274643,9.964643,8.65,8.983214,7.605185,16651252800
01-07-2010,9.082143,9.499643,8.557143,9.1875,7.778132,15669704400
01-08-2010,9.301429,9.438571,8.412857,8.682143,7.350296,9589120800
01-09-2010,8.838214,10.526071,8.795714,10.133929,8.579386,11849919200
01-10-2010,10.219643,11.392857,9.920357,10.749286,9.100339,12234577600
01-11-2010,10.793571,11.475,10.634286,11.1125,9.407836,9508086000
01-12-2010,11.259643,11.666429,11.246071,11.52,9.752824,6973234800
01-01-2011,11.63,12.45,11.601429,12.118571,10.259578,10841535600
01-02-2011,12.189286,13.032143,12.061429,12.614643,10.679552,9295949600
01-03-2011,12.695357,12.916786,11.652143,12.446786,10.537443,11306458800
01-04-2011,12.539643,12.683214,11.434286,12.504643,10.586422,9253829200
01-05-2011,12.490714,12.565357,11.765,12.4225,10.516882,6912060400
01-06-2011,12.459643,12.576071,11.089286,11.988214,10.149214,9263850400
01-07-2011,11.998214,14.446429,11.935714,13.945714,11.806434,10653946800
01-08-2011,14.206429,14.267857,12.607857,13.743929,11.635604,16142599200
01-09-2011,13.779286,15.102143,13.088571,13.618571,11.52947,11977448000
01-10-2011,13.584643,15.239286,12.651429,14.456429,12.238804,13141427600
01-11-2011,14.193214,14.571429,12.975714,13.65,11.556081,8963701600
01-12-2011,13.662143,14.610357,13.488571,14.464286,12.245459,6306532400
01-01-2012,14.621429,16.365713,14.607143,16.302856,13.801992,6859854400
01-02-2012,16.371786,19.557501,16.213572,19.372856,16.401047,11368554400
01-03-2012,19.577499,22.194643,18.436428,21.4125,18.127815,15584338000
01-04-2012,21.493929,23,19.821428,20.856428,17.657042,15598990400
01-05-2012,20.889286,21.312857,18.649286,20.633215,17.468063,11106345600
01-06-2012,20.327143,21.071428,19.589287,20.857143,17.657648,7855825600
01-07-2012,20.883215,22.138214,20.357143,21.812857,18.466751,8909650400
01-08-2012,21.996786,24.316786,21.4375,23.758572,20.113993,8276206400
01-09-2012,23.777143,25.18107,23.428572,23.825001,20.256838,9199005200
01-10-2012,23.969999,24.169643,20.989286,21.261429,18.077198,12142830000
01-11-2012,21.365,21.535713,18.0625,20.902857,17.772327,12929851200
01-12-2012,21.201786,21.235357,17.901072,19.006071,16.233421,12132752800
01-01-2013,19.779285,19.821428,15.535714,16.2675,13.894358,13123423600
01-02-2013,16.396786,17.319286,15.630714,15.764286,13.464556,9344034000
01-03-2013,15.642857,16.78393,14.964286,15.809286,13.581688,9176876800
01-04-2013,15.782143,15.901786,13.753571,15.813571,13.585369,10963489600
01-05-2013,15.873571,16.633928,14.960714,16.061787,13.79861,9447530400
01-06-2013,16.0975,16.229643,13.888214,14.161786,12.246856,7018536000
01-07-2013,14.381786,16.33357,14.329286,16.161785,13.976421,6538114800
01-08-2013,16.276787,18.347857,16.187857,17.400715,15.047824,8058338400
01-09-2013,17.610714,18.139999,15.972143,17.026787,14.821684,8630941200
01-10-2013,17.0875,19.258928,17.081429,18.667856,16.250214,7837732000
01-11-2013,18.715,19.940357,18.299286,19.859644,17.287661,5225155600
01-12-2013,19.928572,20.540714,19.242857,20.036428,17.543379,7057397200
01-01-2014,19.845715,20.007143,17.626785,17.878571,15.654017,8765954400
01-02-2014,17.950357,19.685356,17.832144,18.794287,16.455793,5880366800
01-03-2014,18.693571,19.607143,18.671785,19.169287,16.884604,5001698800
01-04-2014,19.205713,21.408215,18.261786,21.074642,18.562868,6435060800
01-05-2014,21.142857,23.006071,20.72607,22.607143,19.912724,5735668400
01-06-2014,22.64143,23.762501,22.232143,23.2325,20.577837,4827739200
01-07-2014,23.379999,24.860001,23.1425,23.9,21.169065,4140344000
01-08-2014,23.725,25.725,23.32,25.625,22.696959,3748308000
01-09-2014,25.764999,25.934999,24.035,25.1875,22.420416,6105680000
01-10-2014,25.147499,27.01,23.795,27,24.033802,5441120800
01-11-2014,27.055,29.9375,26.93,29.7325,26.466106,3281632800
01-12-2014,29.702499,29.8125,26.565001,27.594999,24.669945,4294378400
01-01-2015,27.8475,30,26.157499,29.290001,26.185272,5221053600
01-02-2015,29.512501,33.400002,29.02,32.115002,28.710823,4546140800
01-03-2015,32.3125,32.57,30.407499,31.1075,27.919876,4554568400
01-04-2015,31.205,33.634998,30.775,31.2875,28.081432,3984542000
01-05-2015,31.525,33.2425,30.84,32.57,29.232513,3816608400
01-06-2015,32.57,32.8475,31.120001,31.3575,28.261816,3514426800
01-07-2015,31.725,33.2425,29.805,30.325001,27.331255,4233122400
01-08-2015,30.375,30.6425,23,28.190001,25.407021,6427276400
01-09-2015,27.5375,29.2225,26.84,27.575001,24.965237,4826189200
01-10-2015,27.2675,30.305,26.827499,29.875,27.047546,4450048400
01-11-2015,30.200001,30.955,27.75,29.575001,26.775946,3002562400
01-12-2015,29.6875,29.965,26.205,26.315001,23.926453,3687660800
01-01-2016,25.6525,26.4625,23.0975,24.334999,22.126177,5087392000
01-02-2016,24.1175,24.7225,23.147499,24.172501,21.978437,3243450400
01-03-2016,24.4125,27.605,24.355,27.247499,24.908751,2984198400
01-04-2016,27.195,28.0975,23.127501,23.434999,21.423491,3489534800
01-05-2016,23.4925,25.182501,22.3675,24.965,22.822165,3602686000
01-06-2016,24.754999,25.4725,22.875,23.9,21.981606,3117990800
01-07-2016,23.872499,26.137501,23.592501,26.0525,23.961329,2743118400
01-08-2016,26.102501,27.557501,26,26.525,24.395901,2520514000
01-09-2016,26.535,29.045,25.6325,28.262501,26.134756,3872062400
01-10-2016,28.1775,29.672501,28.07,28.385,26.24803,2747657200
01-11-2016,28.365,28.442499,26.02,27.629999,25.549875,2886220000
01-12-2016,27.592501,29.504999,27.0625,28.955,26.91258,2435086800
01-01-2017,28.950001,30.610001,28.690001,30.3375,28.197565,2252488000
01-02-2017,31.7575,34.369999,31.752501,34.247501,31.83177,2299874400
01-03-2017,34.4725,36.125,34.262501,35.915001,33.526371,2246513600
01-04-2017,35.927502,36.365002,35.014999,35.912498,33.524033,1493216400
01-05-2017,36.275002,39.162498,36.067501,38.189999,35.650066,2615927200
01-06-2017,38.2925,38.994999,35.549999,36.005001,33.749107,2736712400
01-07-2017,36.220001,38.497501,35.602501,37.182499,34.85284,1688047600
01-08-2017,37.275002,41.130001,37.102501,41,38.431152,2644276000
01-09-2017,41.200001,41.235001,37.290001,38.529999,36.257736,2721496400
01-10-2017,38.564999,42.412498,38.115002,42.259998,39.767757,2017165200
01-11-2017,42.467499,44.060001,41.32,42.962502,40.428837,2402653600
01-12-2017,42.487499,44.299999,41.615002,42.307499,39.955589,2124735200
01-01-2018,42.540001,45.025002,41.174999,41.857498,39.530605,2638717600
01-02-2018,41.7925,45.154999,37.560001,44.529999,42.054535,3711577200
01-03-2018,44.634998,45.875,41.235001,41.945,39.774742,2854910800
01-04-2018,41.66,44.735001,40.157501,41.314999,39.177345,2664617200
01-05-2018,41.602501,47.592499,41.317501,46.717499,44.300316,2483905200
01-06-2018,46.997501,48.549999,45.182499,46.2775,44.052299,2110498000
01-07-2018,45.955002,48.990002,45.855,47.572498,45.285023,1574765600
01-08-2018,49.782501,57.217499,49.327499,56.907501,54.171165,2801275600
01-09-2018,57.102501,57.4175,53.825001,56.435001,53.909798,2715888000
01-10-2018,56.987499,58.3675,51.522499,54.715,52.266766,3158994000
01-11-2018,54.762501,55.59,42.564999,44.645,42.647335,3845305600
01-12-2018,46.115002,46.235001,36.647499,39.435001,37.801907,3595690000
01-01-2019,38.7225,42.25,35.5,41.610001,39.886833,3312349600
01-02-2019,41.740002,43.967499,41.482498,43.287498,41.494862,1890162400
01-03-2019,43.57,49.422501,42.375,47.487499,45.71616,2603925600
01-04-2019,47.91,52.119999,47.095001,50.1675,48.296196,2024470800
01-05-2019,52.470001,53.827499,43.747501,43.767502,42.134926,2957826400
01-06-2019,43.900002,50.392502,42.567501,49.48,47.817772,2060874800
01-07-2019,50.7925,55.342499,49.602501,53.259998,51.470783,1895406800
01-08-2019,53.474998,54.5075,48.145,52.185001,50.431904,2724326400
01-09-2019,51.607498,56.605,51.055,55.9925,54.317097,2170268400
01-10-2019,56.267502,62.4375,53.782501,62.189999,60.329155,2433210800
01-11-2019,62.384998,67,62.290001,66.8125,64.813347,1793326000
01-12-2019,66.817497,73.4925,64.072502,73.412498,71.429657,2388794800
01-01-2020,74.059998,81.962502,73.1875,77.377502,75.287567,2934370400
01-02-2020,76.074997,81.805,64.092499,68.339996,66.494156,3019279200
01-03-2020,70.57,76,53.1525,63.572498,62.002232,6280072400
01-04-2020,61.625,73.6325,59.224998,73.449997,71.63575,3265299200
01-05-2020,71.5625,81.059998,71.462502,79.485001,77.521683,2805936000
01-06-2020,79.4375,93.095001,79.302498,91.199997,89.188103,3243375600
01-07-2020,91.279999,106.415001,89.144997,106.260002,103.915878,3020283200
01-08-2020,108.199997,131,107.892502,129.039993,126.193359,4070061100
01-09-2020,132.759995,137.979996,103.099998,115.809998,113.459396,3885245100
01-10-2020,117.639999,125.389999,107.720001,108.860001,106.650482,2894666500
01-11-2020,109.110001,121.989998,107.32,119.050003,116.633652,2123077300
01-12-2020,121.010002,138.789993,120.010002,132.690002,130.221085,2322189600
01-01-2021,133.520004,145.089996,126.379997,131.960007,129.504654,2240262000
01-02-2021,133.75,137.880005,118.389999,121.260002,119.003746,1833855600
01-03-2021,123.75,128.720001,116.209999,122.150002,120.056328,2650418200
01-04-2021,123.660004,137.070007,122.489998,131.460007,129.206726,1889857500
01-05-2021,132.039993,134.070007,122.25,124.610001,122.474159,1711934900
01-06-2021,125.080002,137.410004,123.129997,136.960007,134.841125,1606590000
01-07-2021,136.600006,150,135.759995,145.860001,143.603424,1919035100
01-08-2021,146.360001,153.490005,144.5,151.830002,149.481094,1461542800
01-09-2021,152.830002,157.259995,141.270004,141.5,139.519608,1797835100
01-10-2021,141.899994,153.169998,138.270004,149.800003,147.703461,1565079200
01-11-2021,148.990005,165.699997,147.479996,165.300003,162.986511,1691029000
01-12-2021,167.479996,182.130005,157.800003,177.570007,175.340302,2444766700
01-01-2022,177.830002,182.940002,154.699997,174.779999,172.585342,2108446000
01-02-2022,174.009995,176.649994,152,165.119995,163.046646,1627516300
01-03-2022,164.699997,179.610001,150.100006,174.610001,172.637161,2180800100
01-04-2022,174.029999,178.490005,155.380005,157.649994,155.868759,1687795600
01-05-2022,156.710007,166.479996,132.610001,148.839996,147.158295,2401040300
01-06-2022,149.899994,151.740005,129.039993,136.720001,135.373856,1749099800
01-07-2022,136.039993,163.630005,135.660004,162.509995,160.909943,1447125400
01-08-2022,161.009995,176.149994,157.139999,157.220001,155.672012,1510239600
01-09-2022,156.639999,164.259995,138,138.199997,137.029373,2084722800
01-10-2022,138.210007,157.5,134.369995,153.339996,152.041122,1868139700
01-11-2022,155.080002,155.449997,134.380005,148.029999,146.776108,1724847700
01-12-2022,148.210007,150.919998,125.870003,129.929993,129.043106,1675731200
01-01-2023,130.279999,147.229996,124.169998,144.289993,143.305099,1443652500
01-02-2023,143.970001,157.380005,141.320007,147.410004,146.403793,1307198900
01-03-2023,146.830002,165,143.899994,164.899994,164.02449,1520266600
01-04-2023,164.270004,169.850006,159.779999,169.679993,168.779114,969709700
01-05-2023,169.279999,179.350006,164.309998,177.25,176.308899,1275155500
01-06-2023,177.699997,194.479996,176.929993,193.970001,193.207016,1297101100
01-07-2023,193.779999,198.229996,186.600006,196.449997,195.677261,996066400
01-08-2023,196.240005,196.729996,171.960007,187.869995,187.130997,1322439400
01-09-2023,189.490005,189.979996,167.619995,171.210007,170.766846,1337586600
01-10-2023,171.220001,182.339996,165.669998,170.770004,170.327972,1172719600
01-11-2023,171,192.929993,170.119995,189.949997,189.458313,1099586100
01-12-2023,190.330002,199.619995,187.449997,192.529999,192.284637,1062774800
01-01-2024,187.149994,196.380005,180.169998,184.399994,184.164993,1187219300
01-02-2024,183.990005,191.050003,179.25,180.75,180.519653,1161627000
01-03-2024,179.550003,180.529999,168.490005,173.229996,173.229996,586472000
12-03-2024,173.149994,174.029999,171.020004,173.229996,173.229996,58529744
